Fear & Greed Index,googleTrendsDif,Month-over-month (%),type
83.8,-1.25,24.43,--
59.7,-25.5,-32.85,++
53.9,-19,19.41,--
44.8,-6.64,-37.50,++
59.3,-5.35,33.24,--
64.3,0.25,-17.30,--
66.9,-1.1,-15.32,++
73.7,-1.14,19.40,const
74.6,-2.84,-5.66,const
42,-3.15,-8.39,const
39.1,6.5,-3.21,--
24.1,-0.94,-33.92,const
43.4,-5.8,-8.81,const
77.8,0.25,-9.25,const
77.1,-0.05,10.65,const
80,2.55,7.74,++
60.1,9.25,29.93,++
64,3.19,58.51,++
77.1,-5.19,23.58,const
46.8,-4,-1.73,const
63.7,-2.8,-6.17,const
55.8,-0.44,-14.50,const
71.4,-1.25,11,--
76.6,-0.69,-19.83,const
82.5,1.94,-3.02,const
65.7,2,-8.84,++
10.9,3.44,30.45,--
33.5,-2.19,-22.84,++
56.3,3.60,34.18,const
75.5,-6.85,14.69,const
76.6,3,-9.23,++
82.4,0.64,27.43,const
67.2,-4.89,1.79,const
70.7,3.75,-11.29,++
76.7,11.95,29.36,++
85.8,14.3,36.88,++
80.2,31.5,56.22,const
76.5,6.25,14.17,++
70.8," -27",47.99,++
89.6,4.5,19.07,const
75,10.25,-2.15,--
71.6,-21.75,-36.56,const
71,-11.5,-8.49,++
67.1,-2.35,19.07,++
54.7," 0.60",22.19,const
53.5,9.79,-1.49,++
61.8,-1.79,26.78,const
53.6,-3.5,-6.19,--
47.3,5.89,-16.67,--
34.1,-7.14,-18.75,const
36.5,-6.75,14.48,const
40.7,-4,4.34,--
21.5,10.7,-16.88,--
16.3,14.29,-22.54,--
27,-20.3,-35.34,++
60.9,-7.9,20.99,const
22.9,0.75,-13.67,const
24.6,-4.39,-4.05,const
62.8,11.89,6.07,--