date,Fear & Greed Index,googleTrendsDif,Month-over-month (%),type
01/18,83.8,-2.25,51.75,--
02/18,59.7,-18,-23.75,--
03/18,53.9,-4,-53.79,++
04/18,44.8,-1.95,70.09,const
05/18,59.3,-0.79,-13.76,--
06/18,64.3,-1.5,-21.67,const
07/18,66.9,-0.90,-4.68,--
08/18,73.7,1.65,-34.66,--
09/18,74.6,-1.45,-17.43,const
10/18,42,-1.79,-14.70,--
11/18,39.1,0.5,-42.71,++
12/18,24.1,0.10,15.93,--
01/19,43.4,-0.85,-19.10,++
02/19,77.8,-0.25,26.95,const
03/19,77.1,-0.29,4.67,const
04/19,80,0.29,14.11,++
05/19,60.1,1.75,65.63,const
06/19,64,-0.45,9.04,--
07/19,77.1,1.45,-25.66,--
08/19,46.8,-3.25,-20.99,const
09/19,63.7,0.20,5.09,const
10/19,55.8,-0.20,1.12,--
11/19,71.4,0,-16.68,const
12/19,76.6,0,-14.97,++
01/20,82.5,0.75,39.24,++
02/20,65.7,1.25,20.91,--
03/20,10.9,-1.20,-38.92,++
04/20,33.5,0.45,55.22,const
05/20,56.3,0.54,12.41,const
06/20,75.5,-0.79,-2.67,++
07/20,76.6,1.5,53.58,++
08/20,82.4,2.09,25.22,--
09/20,67.2,-3.0,-17.17,const
10/20,70.7,0.25,7.52,++
11/20,76.7,5.25,59.39,++
12/20,85.8,3,19.49,++
01/21,80.2,25.6,78.37,const
02/21,76.5,3.64,8.08,++
03/21,70.8,-13,35.19,++
04/21,89.6,13,44.57,const
05/21,75,36.34,-2.32,--
06/21,71.6,-45.09,-16.05,const
07/21,71,-10.25,11.36,++
08/21,67.1,13.35,35.49,const
09/21,54.7,-8.60,-12.54,++
10/21,53.5,9,42.89,const
11/21,61.8,2.75,7.96,--
12/21,53.6,-9.5,-20.55,--
01/22,47.3,2.14,-26.95,const
02/22,34.1,-10.8,8.77,const
03/22,36.5,-3.25,12.31,--
04/22,40.7,-3.5,-16.91,--
05/22,21.5,2.85,-28.80,--
06/22,16.3,4.39,-44.95,++
07/22,27,-7.19,57.15,const
08/22,60.9,0.19,-7.43,const
09/22,22.9,4.5,-14.56,++
10/22,24.6,-9.5,18.37,--
11/22,62.8,2.75,-17.70,const
12/22,59,-3,-7.32,